Proj_num,Name_CN,Name_EN,CategoryCN,CategoryEN,Time,Type_CN,Type_EN,Place_CN,Place_EN,Unit_CN,Unit_EN,X,Y,ProvinceCN,ProvinceEN,Region4CN,Region4EN,Region7CN,Region7EN,center
Ⅰ-1,苗族古歌,Miao ancient songs,民间文学,Folk Literature,2006,新增项目,New project,贵州省台江县,"Taijiang County, Guizhou Province",台江县非物质文化遗产保护中心,Taijiang Intangible Cultural Heritage Protection Center,108.317039,26.670931,贵州,Guizhou,西部,Western China,西南,Southwest China,"108.317039,26.670931"
Ⅰ-1,苗族古歌,Miao ancient songs,民间文学,Folk Literature,2006,新增项目,New project,贵州省黄平县,"Huangping County, Guizhou Province",黄平县非物质文化遗产保护中心,Huangping Intangible Cultural Heritage Protection Center,107.912381,26.909041,贵州,Guizhou,西部,Western China,西南,Southwest China,"107.912381,26.909041"
Ⅰ-1,苗族古歌,Miao ancient songs,民间文学,Folk Literature,2011,扩展项目,Extension project,湖南省花垣县,"Huayuan County, Hunan Province",花垣县非物质文化遗产保护中心,Huayuan Intangible Cultural Heritage Protection Center,109.477313,28.575298,湖南,Hunan,中部,Central China,华中,Central China,"109.477313,28.575298"
Ⅰ-2,布洛陀,Buluotuo,民间文学,Folk Literature,2006,新增项目,New project,广西壮族自治区田阳县,"Tianyang County, Guangxi Zhuang Autonomous Region",田阳县文化馆,Tianyang County Cultural Center,106.911826,23.738533,广西,Guangxi,西部,Western China,华南,South China,"106.911826,23.738533"
Ⅰ-3,遮帕麻和遮咪麻,Chamaema and chamaema,民间文学,Folk Literature,2006,新增项目,New project,云南省梁河县,"Lianghe County, Yunnan Province",梁河县文化馆,Lianghe County Cultural Center,98.296334,24.807206,云南,Yunnan,西部,Western China,西南,Southwest China,"98.296334,24.807206"
Ⅰ-4,牡帕密帕,Mupamipa,民间文学,Folk Literature,2006,新增项目,New project,云南省思茅市,"Simao City, Yunnan Province",澜沧拉祜族自治县文化馆,Culture Museum of Lancang Lahu Autonomous County,100.975952,22.789886,云南,Yunnan,西部,Western China,西南,Southwest China,"100.975952,22.789886"
Ⅰ-5,刻道,Engraved,民间文学,Folk Literature,2006,新增项目,New project,贵州省施秉县,"Shibing County, Guizhou Province",施秉县非物质文化遗产保护中心,Shibing Intangible Cultural Heritage Protection Center,108.120011,27.03618,贵州,Guizhou,西部,Western China,西南,Southwest China,"108.120011,27.03618"
Ⅰ-6,白蛇传传说,Legend of the White Snake,民间文学,Folk Literature,2006,新增项目,New project,江苏省镇江市,"Zhenjiang City, Jiangsu Province",镇江市非物质文化遗产保护中心,Zhenjiang Intangible Cultural Heritage Protection Center,119.447367,32.206327,江苏,Jiangsu,东部,Eastern China,华东,East China,"119.447367,32.206327"
Ⅰ-6,白蛇传传说,Legend of the White Snake,民间文学,Folk Literature,2006,新增项目,New project,浙江省杭州市,"Hangzhou City, Zhejiang Province",杭州市文化馆,Hangzhou Cultural Center,120.20541,30.24828,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.20541,30.24828"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,江苏省宜兴市,"Yixing City, Jiangsu Province",宜兴市华夏梁祝文化研究会,Yixing Huaxia Liangzhu Culture Research Association,119.818479,31.342721,江苏,Jiangsu,东部,Eastern China,华东,East China,"119.818479,31.342721"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,浙江省宁波市,"Ningbo City, Zhejiang Province",宁波梁祝文化园管理有限公司,"Ningbo Liangzhu Cultural Park Management Co., Ltd",121.617501,29.862137,浙江,Zhejiang,东部,Eastern China,华东,East China,"121.617501,29.862137"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,浙江省杭州市,"Hangzhou City, Zhejiang Province",杭州市文化馆,Hangzhou Cultural Center,120.20541,30.24828,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.20541,30.24828"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,浙江省上虞市,"Shangyu City, Zhejiang Province",绍兴市上虞区文化馆（区非物质遗产保护中心）,Shaoxing Shangyu District Cultural Center (District Intangible Heritage Protection Center),120.864041,30.035736,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.864041,30.035736"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,山东省济宁市,"Jining City, Shandong Province",济宁市梁祝文化研究会,Jining Liangzhu Culture Research Association,116.581954,35.415841,山东,Shandong,东部,Eastern China,华东,East China,"116.581954,35.415841"
Ⅰ-7,梁祝传说,The Legend of Liang Zhu,民间文学,Folk Literature,2006,新增项目,New project,河南省汝南县,"Runan County, Henan Province",汝南县文化馆,Runan County Cultural Center,114.356627,33.00845,河南,Henan,中部,Central China,华中,Central China,"114.356627,33.00845"
